RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2002,15734311,Hamilton,661,France,Female,27.0,3,0.0,2,1.0,1.0,76889.79,0
2003,15657214,Hsia,601,France,Male,74.0,2,0.0,2,0.0,1.0,51554.58,0
2004,15799350,Mao,632,France,Male,41.0,0,106134.46,1,0.0,1.0,105570.39,0
2005,15729970,Ugochukwu,684,Germany,Male,29.0,8,127269.75,1,0.0,1.0,79495.01,0
2006,15725835,West,785,Germany,Female,32.0,3,124493.03,2,0.0,1.0,52583.79,1
2007,15745543,Hughes,687,France,Male,39.0,7,0.0,2,1.0,0.0,26848.25,0
2008,15727384,Chukwuemeka,705,Germany,Female,43.0,10,146547.78,1,0.0,1.0,10072.55,1
2009,15666916,Lira,639,France,Male,43.0,6,99610.92,2,1.0,0.0,187296.78,0
2010,15732917,Li,729,Germany,Male,46.0,5,117837.43,1,1.0,0.0,104016.61,1
2011,15612050,Castiglione,556,Spain,Female,48.0,8,168522.37,1,1.0,1.0,151310.16,0
2012,15726267,Paterson,570,France,Male,32.0,9,117337.54,2,0.0,1.0,62810.91,0
2013,15780124,Blair,841,France,Male,74.0,9,108131.53,1,0.0,1.0,60830.38,0
2014,15742238,Dellucci,705,Germany,Male,35.0,4,136496.12,2,1.0,0.0,116672.02,0
2015,15679024,Udinesi,553,France,Male,32.0,3,116324.53,1,1.0,0.0,77304.49,0
2016,15715297,Yuan,779,Germany,Female,40.0,2,75470.23,1,1.0,1.0,52894.01,0
2017,15633612,Yuryeva,696,France,Male,28.0,4,172646.82,1,1.0,1.0,116471.43,0
2018,15602929,Wilson,728,Spain,Female,37.0,4,0.0,1,0.0,0.0,4539.38,0
2019,15696703,Dean,691,Germany,Male,27.0,3,160358.68,2,1.0,0.0,142367.72,0
2020,15756668,Ross,706,France,Male,30.0,3,98415.37,1,1.0,1.0,110520.48,0
