RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6004,15579892,Doyle,708,Spain,Male,19.0,7,112615.86,1,1.0,1.0,4491.77,0
6005,15802088,Grant,521,Spain,Female,22.0,10,0.0,1,1.0,1.0,101311.95,0
6006,15589323,Law,636,France,Female,24.0,9,0.0,2,0.0,1.0,38830.72,0
6007,15636395,King,529,France,Female,31.0,5,0.0,2,1.0,0.0,26817.23,0
6008,15712772,Onwubiko,757,France,Male,28.0,3,75381.15,1,1.0,1.0,199727.72,0
6009,15700937,Romano,767,Spain,Female,24.0,5,0.0,2,1.0,1.0,67445.85,0
6010,15766659,Okwudilichukwu,525,Spain,Male,33.0,5,0.0,2,1.0,0.0,161002.29,0
6011,15814033,Milano,759,Spain,Male,38.0,1,0.0,2,1.0,0.0,20778.39,0
6012,15783007,Parker,520,Germany,Female,45.0,1,123086.39,1,1.0,1.0,41042.4,1
6013,15654183,Aitken,738,France,Female,26.0,3,0.0,2,1.0,0.0,67484.16,0
6014,15609899,Obiora,548,Spain,Male,37.0,4,0.0,1,1.0,0.0,121763.68,0
6015,15747323,Vasilyeva,535,Spain,Male,48.0,9,109472.47,1,1.0,0.0,157358.43,1
6016,15582591,Chiabuotu,615,Spain,Male,59.0,4,155766.05,1,1.0,1.0,110275.17,0
6017,15738835,Slater,850,Germany,Male,38.0,7,101985.81,2,0.0,0.0,43801.27,0
6018,15782404,Hughes,487,France,Female,34.0,2,96019.5,1,0.0,0.0,9085.0,0
6019,15697480,Menkens,731,France,Male,30.0,7,0.0,2,0.0,1.0,143086.09,0
6020,15697045,Pisani,726,Spain,Female,35.0,9,0.0,2,0.0,1.0,100556.98,0
6021,15781234,Y?an,609,France,Female,35.0,2,147900.43,1,1.0,0.0,140000.29,0
6022,15579891,Milani,714,France,Male,52.0,4,100755.66,1,1.0,1.0,186775.25,0
6023,15805690,Chin,694,Spain,Female,35.0,7,0.0,1,1.0,0.0,133570.43,1
6024,15612139,Fu,786,France,Female,33.0,0,83036.05,1,0.0,1.0,154990.58,1
6025,15568834,Howells,698,Spain,Male,27.0,6,125427.37,2,0.0,0.0,27654.44,0
6026,15709917,Ni,601,France,Female,46.0,3,98202.76,1,0.0,0.0,137763.93,0
6027,15718843,Maslova,769,Spain,Male,41.0,1,72509.91,1,1.0,0.0,25723.73,0
6028,15799494,Forster,850,Germany,Male,44.0,3,140393.65,2,0.0,1.0,186285.52,0
6029,15673439,Sun,646,Spain,Female,50.0,5,142644.64,2,1.0,1.0,142208.5,1
6030,15669011,Bocharova,659,France,Female,44.0,9,23503.31,1,0.0,1.0,169862.01,1
6031,15581388,Y?an,487,Spain,Male,33.0,8,145729.71,1,1.0,0.0,41365.85,0
6032,15743153,Singh,740,Germany,Female,40.0,2,122295.17,2,1.0,1.0,30812.84,0
6033,15579787,Nkemakonam,686,France,Male,39.0,4,0.0,2,1.0,0.0,155023.93,0
6034,15759966,Chiemenam,612,Spain,Female,36.0,5,119799.27,2,1.0,0.0,159416.58,0
6035,15601045,Angelo,655,Spain,Male,37.0,8,163708.58,2,0.0,0.0,76259.23,0
6036,15764021,Frolov,617,France,Male,34.0,1,61687.33,2,1.0,0.0,105965.25,0
6037,15687218,West,674,France,Female,27.0,4,79144.34,1,0.0,1.0,50743.83,0
6038,15626452,Beatham,711,Spain,Male,32.0,5,0.0,2,1.0,1.0,147720.27,0
6039,15700964,Pollard,624,Germany,Female,27.0,7,104848.68,1,1.0,1.0,167387.36,0
6040,15768887,Hsing,597,Spain,Male,26.0,5,0.0,2,0.0,1.0,95159.13,0
6041,15735358,Dowse,682,Spain,Male,46.0,4,0.0,1,1.0,1.0,4654.28,0
6042,15749472,Lucciano,775,France,Male,45.0,8,0.0,1,1.0,0.0,130376.68,0
6043,15685872,Godfrey,727,France,Female,29.0,1,146652.01,1,1.0,1.0,173486.39,0
6044,15760851,Gratton,629,France,Male,31.0,6,0.0,2,1.0,0.0,93881.75,0
6045,15734588,Manning,684,France,Male,46.0,0,0.0,2,1.0,1.0,36376.97,0
6046,15784594,Mazzi,549,Germany,Female,37.0,1,130622.34,2,1.0,1.0,128499.94,0
6047,15606435,Wall,593,Germany,Male,69.0,2,187013.13,2,0.0,1.0,105898.69,0
6048,15790247,Sims,536,Spain,Male,40.0,9,0.0,2,1.0,1.0,11959.03,0
6049,15676433,Allan,707,France,Female,36.0,6,0.0,1,0.0,0.0,98810.78,0
6050,15625905,Griffen,592,Spain,Male,41.0,0,0.0,2,1.0,0.0,65906.07,0
6051,15626414,Russell,703,France,Male,44.0,6,98862.54,1,1.0,0.0,151516.7,0
6052,15623220,Brown,723,Spain,Female,45.0,4,0.0,2,1.0,0.0,37214.39,0
6053,15752857,Palerma,452,Germany,Male,52.0,1,98443.14,2,0.0,0.0,92033.98,0
6054,15677908,Gilbert,552,Spain,Male,42.0,4,0.0,2,0.0,0.0,195692.3,0
6055,15773013,Uvarov,633,France,Female,47.0,0,0.0,1,1.0,1.0,6342.84,1
6056,15623972,Wisdom,479,Germany,Female,23.0,9,123575.51,1,0.0,1.0,95148.28,0
6057,15738627,Hussain,768,France,Male,25.0,6,0.0,2,1.0,1.0,21215.67,0
6058,15643392,Woods,742,France,Male,31.0,4,105239.1,1,1.0,1.0,19700.24,0
6059,15684868,Cameron,668,Germany,Male,56.0,9,110993.79,1,1.0,0.0,134396.64,1
6060,15627854,Mai,707,Spain,Male,44.0,3,0.0,2,1.0,1.0,135077.01,0
6061,15669253,Gibson,754,Spain,Male,39.0,7,157691.98,2,1.0,0.0,133600.89,1
6062,15758023,Grigoryeva,544,Germany,Male,47.0,5,105245.21,1,0.0,0.0,99922.08,1
