RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7601,15762392,Ilyina,683,Spain,Male,30.0,1,,1,1.0,1.0,65035.02,0
7602,15693382,Muir,828,France,Male,31.0,9,0.0,1,0.0,1.0,164257.37,0
7603,15791769,Gardener,691,France,Female,29.0,9,116536.43,1,1.0,0.0,51987.99,0
7604,ERR_853,Chidi,###,Spain,Female,28.0,4,0.0,2,1.0,0.0,10899.63,1
7605,15636454,Fu,691,France,Female,60.0,6,101070.69,1,1.0,0.0,177355.8,1
7606,15710138,Sun,718,Spain,Male,39.0,6,0.0,2,0.0,1.0,63889.1,0
7607,15571571,Ting,not_a_number,Germany,Female,31.0,3,127331.46,3,1.0,-42,176433.6,not_a_number
7608,15638751,Ashton,838,Spain,Female,41.0,5,0.0,2,1.0,not_a_number,81313.51,0
7609,15598574,Uwakwe,695,Spain,Female,31.0,5,0.0,2,0.0,1.0,13998.88,0
7610,-42,Vassiliev,681,France,Male,ERR_698,not_a_number,105969.42,1,1.0,0.0,5771.56,0
