RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2341,15595728,Thomas,523,Germany,Male,41.0,0,119276.31,1,0.0,0.0,122284.38,1
2342,15735388,Wayn,717,France,Female,25.0,7,108664.85,2,1.0,0.0,190011.85,0
2343,15788535,Tan,593,Spain,Male,44.0,5,0.0,1,1.0,0.0,128046.98,0
2344,15765902,Gibson,706,Germany,Male,38.0,5,163034.82,2,1.0,1.0,135662.17,0
2345,15642345,Y?,714,Germany,Female,49.0,4,93059.34,1,1.0,0.0,7571.51,1
2346,15641250,Calabresi,794,Spain,Male,38.0,9,179581.31,1,1.0,0.0,23596.24,0
2347,15706163,Enyinnaya,518,Germany,Male,46.0,4,113625.93,1,0.0,0.0,92727.42,1
2348,15746708,Ritchie,589,Germany,Male,55.0,7,119961.48,1,1.0,0.0,65156.83,1
2349,15775203,Chia,824,France,Male,45.0,3,129209.48,1,0.0,0.0,60151.77,0
2350,15787907,Wang,719,Germany,Female,42.0,5,137227.04,3,1.0,0.0,149097.38,1
