RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1941,15659651,Ross,531,Germany,Female,31.0,7,not_a_number,,1.0,0.0,118508.09,1
1942,15645956,Jideofor,452,Spain,Male,44.0,3,88915.85,1,1.0,0.0,69697.74,0
1943,15651713,King,684,France,Male,45.0,6,148071.39,1,1.0,0.0,183575.01,0
1944,15569050,Nwokeocha,728,Germany,Male,39.0,not_a_number,152182.83,1,0.0,0.0,161203.6,0
1945,15687310,Humphries,783,Spain,Male,39.0,9,0.0,2,1.0,0.0,143752.77,0
1946,15607347,Olisaemeka,734,France,Male,22.0,5,130056.23,1,0.0,0.0,121894.31,1
1947,15698321,Yobanna,648,Germany,Male,34.0,3,95039.73,2,1.0,1.0,147055.87,-42
1948,15657812,Ch'iu,688,France,Male,52.0,1,0.0,2,1.0,1.0,172033.57,0
1949,15569187,Fleming,680,Spain,Male,35.0,9,0.0,2,0.0,0.0,143774.06,0
1950,15681562,Trevisan,516,France,Female,43.0,2,,2,1.0,1.0,139366.58,0
