RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6111,15577402,Grant,593,France,Male,31.0,9,0.0,2,0.0,1.0,20492.16,0
6112,15803337,Baresi,648,France,Male,23.0,9,168372.52,1,1.0,0.0,134676.72,0
6113,15654372,Pearce,462,Germany,Male,34.0,1,94682.56,2,1.0,0.0,138478.2,0
6114,15585867,Rutledge,596,Spain,Male,36.0,2,0.0,2,0.0,1.0,125557.95,0
6115,15662488,Udegbunam,627,France,Female,44.0,5,0.0,2,1.0,0.0,82969.61,1
6116,15604813,Zaytseva,494,France,Male,40.0,7,0.0,2,0.0,1.0,158071.69,0
6117,15611644,Onyemauchechukwu,627,France,Male,73.0,0,146329.73,1,,1.0,43615.67,0
6118,15792922,Mullah,850,Spain,Male,,2,0.0,2,1.0,0.0,119969.99,0
6119,15656100,Candler,632,France,Female,49.0,5,167962.7,not_a_number,ERR_345,0.0,140201.21,0
6120,15764293,Konovalova,490,France,Male,33.0,1,0.0,2,1.0,1.0,80792.83,0
