RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4601,15577985,Chinomso,574,France,Female,34.0,5,112324.45,2,1.0,1.0,17993.43,0
4602,15571666,Shaw,642,Germany,Male,30.0,8,134497.27,1,0.0,0.0,43250.54,0
4603,15783691,Hargreaves,722,Spain,Female,35.0,1,120171.58,1,1.0,0.0,125240.8,0
4604,15671172,Swain,623,France,Male,23.0,1,106012.2,2,0.0,1.0,191415.94,0
4605,15731760,Butcher,681,France,Male,25.0,5,0.0,1,0.0,1.0,90860.97,0
4606,INVALID,Stone,530,France,Female,34.0,8,0.0,2,0.0,1.0,141872.52,0
4607,15692991,Allan,797,France,Female,55.0,10,,ERR_676,1.0,1.0,49418.87,1
4608,15734524,Wang,653,France,Male,51.0,3,0.0,1,1.0,0.0,170426.65,1
not_a_number,15614103,Colombo,850,Germany,Male,42.0,8,119839.69,1,0.0,1.0,51016.02,1
99999,,McKay,581,Spain,Male,34.0,1,0.0,2,0.0,1.0,81175.25,0
