RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8391,15755521,Ma,660,France,Female,48.0,0,90044.32,2,0.0,1.0,187604.97,1
8392,15579074,Obiajulu,619,Germany,Male,38.0,10,84651.79,1,1.0,1.0,184754.26,0
8393,15641158,Belcher,739,Germany,Male,32.0,3,102128.27,1,1.0,0.0,63981.37,1
8394,15752507,K?,769,Germany,Male,60.0,9,148846.39,1,1.0,0.0,192831.67,1
,15597983,Brown,692,France,Male,69.0,10,154953.94,1,1.0,1.0,70849.47,0
8396,15586069,Abernathy,560,France,Female,30.0,0,108883.29,1,1.0,0.0,27914.95,0
8397,15655082,Pape,607,France,Female,48.0,4,112070.86,3,1.0,0.0,173568.3,1
8398,15775131,Tao,630,Germany,Male,29.0,99999,131354.39,INVALID,0.0,1.0,9324.31,1
8399,15582116,Ma,767,Germany,Female,45.0,7,132746.2,2,1.0,0.0,26628.88,1
8400,15749365,Earle,543,France,Female,34.0,8,0.0,2,0.0,1.0,145601.8,0
