RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1401,15670481,Woods,UNKNOWN,France,ERR_845,27.0,9,122550.05,2,not_a_number,1.0,137835.82,0
1402,15619029,Bykov,620,Spain,Female,43.0,2,0.0,2,1.0,0.0,20670.1,0
1403,15613282,Vorobyova,757,France,Male,29.0,8,130306.49,1,1.0,0.0,77469.38,0
1404,15721487,Pirogova,UNKNOWN,France,Female,27.0,6,0.0,1,1.0,1.0,57572.38,0
1405,15797276,Sturt,662,Spain,Female,41.0,4,90350.77,1,1.0,0.0,75884.65,1
1406,15612494,Panicucci,359,France,Female,44.0,6,128747.69,1,1.0,0.0,146955.71,1
1407,15629617,Cook,572,Spain,Male,23.0,2,126873.52,1,0.0,1.0,67040.12,0
1408,15600821,Hardy,721,France,Male,69.0,2,108424.19,1,1.0,1.0,178418.35,0
1409,15579062,Chu,707,France,Male,32.0,9,0.0,2,0.0,0.0,30807.02,0
1410,15814268,Franklin,444,France,Female,40.0,5,84350.07,1,1.0,0.0,143835.76,0
