RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8201,15577359,Bezrukov,767,Spain,Male,47.0,5,0.0,1,1.0,0.0,121964.46,1
8202,15614936,Mancini,718,Spain,Female,49.0,10,82321.88,1,0.0,1.0,11144.4,0
8203,15747647,Iadanza,589,Spain,Female,27.0,4,0.0,2,1.0,0.0,144181.48,0
8204,15588566,Wilkinson,###,Spain,UNKNOWN,33.0,5,116474.28,2,1.0,1.0,32757.55,0
UNKNOWN,15750728,P'eng,724,France,Female,34.0,3,132352.69,1,1.0,0.0,80320.3,0
8206,15800793,St Clair,477,Germany,Female,39.0,4,182491.57,1,1.0,0.0,185830.72,0
8207,15572415,Preston,580,France,Male,34.0,6,0.0,2,1.0,1.0,160095.31,0
8208,15635125,Findlay,566,Spain,Male,63.0,2,120787.18,2,not_a_number,1.0,52198.84,0
8209,15636551,Nixon,711,France,Female,29.0,3,130181.47,2,1.0,0.0,31811.44,0
8210,15600912,Gorshkov,706,Germany,Male,32.0,5,88348.43,2,1.0,1.0,ERR_861,0
