RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3501,15675675,Slate,850,France,Female,32.0,5,106290.64,1,1.0,0.0,121982.73,0
3502,15802060,Ch'ang,646,Germany,Female,30.0,10,100548.67,2,0.0,0.0,136983.77,0
3503,15660505,Romani,735,Germany,Male,46.0,2,106344.95,1,1.0,0.0,114371.33,1
3504,15782630,Genovese,543,France,Male,35.0,5,137482.19,1,0.0,0.0,62389.35,0
3505,15700710,Chiebuka,490,France,Female,37.0,3,116465.53,1,0.0,1.0,24435.77,0
3506,15742834,Liao,640,France,Male,45.0,1,0.0,1,1.0,1.0,10908.33,0
3507,15806511,Berry,445,Spain,Male,45.0,10,0.0,2,0.0,1.0,90977.48,0
3508,15608166,Fallaci,761,France,Male,36.0,9,127637.92,1,1.0,1.0,81062.93,0
3509,15614230,T'an,426,France,Female,34.0,3,0.0,2,1.0,1.0,61230.83,0
3510,15729958,Wilkinson,777,France,Male,37.0,1,0.0,1,1.0,1.0,126837.72,0
