RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
631,15700601,McMillan,589,France,Female,61.0,1,0.0,1,1.0,0.0,61108.56,1
632,15811762,Pickering,583,Germany,Female,54.0,6,115988.86,1,1.0,0.0,57553.98,1
633,15674922,Mirams,839,Spain,Female,33.0,10,75592.43,1,1.0,0.0,,0
634,15724282,Tsao,540,Germany,Male,44.0,3,164113.04,2,1.0,1.0,12120.79,0
635,15738181,Douglas,850,France,Male,31.0,6,67996.23,2,0.0,0.0,50129.87,1
636,15633648,Jideofor,696,Spain,Female,ERR_443,5,0.0,2,1.0,0.0,ERR_693,0
-42,15603323,Bell,660,Spain,Female,33.0,-9999,0.0,99999,0.0,0.0,117834.91,0
638,15583725,Mairinger,682,France,Male,48.0,1,138778.15,1,0.0,1.0,168840.23,0
639,15588350,McIntyre,744,France,Female,43.0,10,147832.15,1,0.0,1.0,24234.11,0
640,15798398,Pagnotto,785,France,Female,36.0,4,135438.4,1,0.0,0.0,190627.01,0
