RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8861,15725762,Kemp,808,France,Male,24.0,4,122168.65,1,1.0,0.0,174107.04,0
8862,15761713,Johnstone,678,France,Female,43.0,7,178074.33,1,0.0,0.0,110405.9,0
8863,15769246,Lo Duca,813,Germany,Male,59.0,2,135078.41,1,1.0,0.0,187636.06,1
8864,15781129,Montgomery,687,Spain,Male,38.0,8,not_a_number,2,1.0,1.0,,1
8865,15599124,Miller,832,France,Female,29.0,5,0.0,2,1.0,0.0,178779.52,0
8866,15639004,Chiemezie,668,France,Male,72.0,2,0.0,2,1.0,1.0,70783.61,0
8867,15810995,Wright,526,Germany,Male,34.0,3,122726.56,1,1.0,1.0,46772.36,0
8868,-42,Shaw,457,France,Female,38.0,7,164496.99,1,1.0,1.0,163327.27,0
8869,not_a_number,Chapman,649,Spain,Female,38.0,8,0.0,1,1.0,0.0,103760.53,0
8870,15733597,Y?an,669,France,Female,41.0,0,150219.41,2,0.0,0.0,107839.03,0
