RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2541,15769703,West,550,Germany,Female,45.0,8,111257.59,1,0.0,0.0,97623.42,1
2542,15679770,Smith,611,France,Female,61.0,3,131583.59,4,ERR_478,1.0,66238.23,1
UNKNOWN,15791102,,549,Germany,Male,41.0,9,95020.8,3,1.0,1.0,###,1
2544,15655192,Fiorentino,850,Spain,Female,24.0,1,0.0,2,0.0,1.0,69052.87,0
2545,15709487,Freeman,668,Germany,Male,34.0,5,80242.37,2,0.0,0.0,56780.97,0
ERR_305,15687130,Nkemjika,686,France,,43.0,0,0.0,1,1.0,1.0,170072.9,0
2547,15755178,Ramos,660,France,,50.0,1,0.0,3,1.0,-42,191849.15,1
2548,15634772,Mario,682,Spain,Female,59.0,0,,1,0.0,1.0,84803.76,0
2549,15617197,Chien,524,France,Male,50.0,4,0.0,2,1.0,1.0,31840.59,1
2550,15631240,Dubinina,645,France,Female,36.0,8,0.0,2,1.0,1.0,12096.61,1
