RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8531,15703354,Aksenov,808,France,Female,33.0,2,103516.87,1,1.0,0.0,113907.8,0
8532,15663987,Wright,723,Spain,Male,30.0,1,0.0,3,1.0,0.0,164647.72,1
8533,15780805,Lu,585,France,Female,35.0,2,0.0,2,1.0,0.0,98621.04,1
8534,15768566,K?,706,France,Male,34.0,8,0.0,2,1.0,1.0,37479.97,0
8535,15591123,,671,France,Female,31.0,6,0.0,2,1.0,1.0,15846.42,0
8536,15754940,Descoteaux,597,UNKNOWN,Male,43.0,2,85162.26,1,0.0,1.0,5104.08,1
8537,15676576,Stephenson,646,France,Female,43.0,8,143061.88,1,1.0,0.0,61937.6,0
8538,15800068,Cooper,801,Spain,Female,46.0,6,0.0,2,1.0,1.0,170008.74,0
8539,15648030,Crump,731,Spain,Female,33.0,5,137388.01,2,1.0,0.0,165000.68,0
8540,15668594,Diggs,620,Germany,Female,25.0,1,137712.01,1,1.0,1.0,76197.05,0
