RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
,,Onyinyechukwuka,625,France,Male,49.0,6,173434.9,1,1.0,0.0,165580.93,99999
1022,15717164,Genovese,485,Spain,Male,32.0,6,102238.01,2,1.0,1.0,194010.12,0
1023,15765014,Mai,547,France,Female,48.0,1,179380.74,2,0.0,1.0,69263.1,0
1024,15682639,Marshall,642,France,Male,32.0,3,0.0,2,1.0,1.0,88698.83,0
1025,15729279,Naylor,,France,Female,25.0,4,108691.95,1,1.0,ERR_815,63030.97,0
1026,15759805,Pinto,582,France,Female,32.0,4,0.0,2,1.0,0.0,59668.81,0
1027,15767864,,628,France,Male,33.0,6,0.0,2,0.0,0.0,184230.23,0
1028,15769948,Palerma,737,Germany,Male,35.0,0,133377.8,1,0.0,1.0,64050.19,0
1029,15686345,McCaffrey,828,Spain,Male,34.0,9,0.0,2,1.0,1.0,81853.98,0
1030,15688071,Collins,609,Spain,Male,53.0,10,0.0,1,1.0,1.0,154642.91,0
