RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
421,15810418,T'ang,756,Germany,Female,60.0,3,115924.89,1,1.0,0.0,93524.19,1
422,15716186,Richardson,586,France,Female,38.0,2,0.0,2,1.0,0.0,87168.46,0
423,15674551,Fitch,535,Germany,Male,40.0,7,111756.5,1,1.0,0.0,8128.32,1
424,15622834,Stevenson,678,France,Female,35.0,4,0.0,1,1.0,0.0,125518.32,0
425,15566111,Estes,596,France,Male,39.0,9,0.0,1,1.0,0.0,48963.59,0
426,15784597,Lattimore,648,France,Male,26.0,9,162923.85,1,1.0,0.0,,0
427,15652883,Chung,492,Germany,Male,39.0,10,124576.65,2,1.0,0.0,148584.61,0
428,15806964,Utz,702,France,Male,45.0,0,80793.58,1,1.0,1.0,27474.81,0
429,15576313,Wei,486,Germany,Female,40.0,9,71340.09,1,1.0,0.0,76192.21,0
430,15806467,Boyle,568,Germany,Male,40.0,1,99282.63,1,0.0,0.0,134600.94,1
