RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8261,15627830,Nikitina,640,Germany,Female,30.0,5,32197.64,1,0.0,1.0,141446.01,0
8262,15656865,Leonard,670,France,Male,38.0,7,0.0,2,1.0,1.0,77864.41,
8263,15772503,Burns,737,France,Female,33.0,4,0.0,2,1.0,0.0,115115.32,0
8264,UNKNOWN,Burtch,555,Spain,Male,32.0,10,not_a_number,2,0.0,1.0,168605.96,0
8265,15710111,Clark,742,France,Male,33.0,6,0.0,2,0.0,0.0,38550.4,0
,15618562,Woodward,618,Germany,Female,40.0,ERR_791,140306.38,1,1.0,0.0,160618.61,1
8267,not_a_number,Spencer,560,France,Female,35.0,1,0.0,2,1.0,0.0,3701.63,0
8268,15798737,Chao,654,France,Male,38.0,8,0.0,2,1.0,0.0,88659.44,0
8269,15712608,Costa,787,Germany,Female,INVALID,2,74483.97,2,0.0,1.0,44273.91,0
8270,15636736,McLachlan,611,France,Female,53.0,7,0.0,2,0.0,1.0,156495.39,1
